name,year,day,count,sum,mean,stdev,index
7,2014,149,4594,5033,1.0955594253373966,1.1590015492941288,10
1,2014,128,2466,5600,2.2708840227088403,0.96345415368729248,10
1,2014,90,2466,6634,2.6901865369018654,1.2880545623667619,10
8,2014,149,3523,933,0.26483110984956004,0.51597048285158886,10
3,2014,113,301,-0.26999229337343422,-0.00089698436336689113,0.013640779042647674,5
2,2014,90,5751,296400,51.538862806468437,28.601207135100076,10
2,2014,128,5751,3884,0.67536080681620592,0.81381937151513384,10
3,2014,128,5603,21423,3.8234874174549347,1.7053332608566989,10
3,2014,90,5603,200845,35.845975370337321,15.985414536778645,10
4,2014,113,1599,NaN,NaN,NaN,5
4,2014,128,7443,4272,0.57396211205159209,0.92177109148174163,10
5,2014,113,3188,NaN,NaN,NaN,5
4,2014,90,7443,56494,7.5902189977159749,3.8233913789781586,10
5,2014,128,4554,6943,1.5245937637241984,0.76537748894564217,10
6,2014,113,1442,-32.780538743441866,-0.022732689835951364,0.067287590204137535,5
1,2014,82,2466,0,0,0,9
5,2014,90,4554,7946,1.7448397013614405,1.4200632561654418,10
2,2014,82,5751,0,0,0,9
6,2014,128,2188,2749,1.256398537477148,0.45509527523456317,10
7,2014,113,406,-2.8047778190375539,-0.0069083197513240243,0.024613302766054255,5
6,2014,90,2188,3775,1.7253199268738575,1.1316288102516587,10
7,2014,90,4594,23816,5.1841532433609059,3.9166936280594018,10
7,2014,128,4594,2620,0.57030909882455372,0.79366645054126694,10
3,2014,82,5603,0,0,0,9
8,2014,90,3523,69952,19.855804711893274,5.9245120930445028,10
8,2014,128,3523,574,0.16292932160090831,0.37159985430243719,10
4,2014,82,7443,0,0,0,9
5,2014,82,4554,0,0,0,9
6,2014,82,2188,408,0.18647166361974407,0.41779409025005637,9
7,2014,82,4594,75,0.016325642141924248,0.12843078294433954,9
8,2014,82,3523,0,0,0,9
1,2014,153,826,219965,266.30145278450362,43.042069884843464,1
1,2014,145,337,NaN,NaN,NaN,3
1,2014,97,336,NaN,NaN,NaN,3
2,2014,145,262,-3.7653911745492223,-0.014371722040264207,0.048522689916611135,3
2,2014,153,1089,281210,258.22773186409552,45.770152019454876,1
4,2014,97,310,NaN,NaN,NaN,3
3,2014,145,212,-5.7614907619808946,-0.027176843216891011,0.060657068624452942,3
3,2014,153,1125,296866,263.88088888888888,43.794287188182381,1
4,2014,145,240,NaN,NaN,NaN,3
5,2014,97,1761,NaN,NaN,NaN,3
4,2014,153,2390,615193,257.4029288702929,42.250750677879054,1
1,2014,137,361,19.629181281663477,0.054374463384109353,0.48143188150628924,4
5,2014,145,1730,NaN,NaN,NaN,3
5,2014,153,381,91191,239.34645669291339,43.591586624632612,1
6,2014,97,24,-0.010825616189322318,-0.00045106734122176323,0.0054408068263948998,3
